Year,Team,Rank,Name,Pos,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,url,player_id
2019,KIA,6,박찬호,19  3B,1.26,0.40,0.86,133,541,536,504,60,131,15,4,2,160,49,39,6,26,4,0,83,8,5,2,0.260,0.300,0.317,0.617,-0.049,62.5,/player/?m=playerinfo&p_no=11261,11261
2019,KIA,7,김주찬,19  1B,0.32,1.45,-1.13,100,363,360,337,35,101,16,0,3,126,32,3,1,17,5,3,44,6,1,3,0.300,0.340,0.374,0.714,-0.010,95.2,/player/?m=playerinfo&p_no=10239,10239
2019,롯데,1,손아섭,19  RF,3.45,3.23,0.22,134,568,566,512,78,151,22,1,10,205,63,13,8,52,1,1,92,6,1,2,0.295,0.360,0.400,0.760,0.009,111.6,/player/?m=playerinfo&p_no=10261,10261
2019,롯데,2,전준우,19  LF,2.87,4.43,-1.56,141,606,604,545,85,164,30,1,22,262,83,8,2,46,7,2,71,19,1,7,0.301,0.359,0.481,0.840,0.022,122.5,/player/?m=playerinfo&p_no=10266,10266
2019,롯데,3,민병헌,19  CF,2.52,3.49,-0.97,101,420,419,369,52,112,24,2,9,167,43,13,6,42,5,0,55,9,1,3,0.304,0.379,0.453,0.832,0.032,131.1,/player/?m=playerinfo&p_no=10188,10188
2019,롯데,4,이대호,19  DH,1.57,3.26,-1.69,135,549,547,485,48,138,23,1,16,211,88,0,0,47,10,4,65,19,0,7,0.285,0.355,0.435,0.790,0.012,113.6,/player/?m=playerinfo&p_no=10251,10251
2019,롯데,5,신본기,19  SS,0.90,0.35,0.55,121,413,407,375,43,96,9,0,1,108,26,3,3,24,8,1,62,9,5,1,0.256,0.314,0.288,0.602,-0.036,74.0,/player/?m=playerinfo&p_no=10840,10840
2019,LG,1,오지환,19  SS,7.73,3.72,4.01,134,547,539,473,63,119,23,5,9,179,53,27,5,57,7,1,113,7,7,3,0.252,0.339,0.378,0.717,0.013,114.9,/player/?m=playerinfo&p_no=10475,10475
2019,LG,2,이형종,19  LF,4.11,3.38,0.73,120,482,480,419,56,120,24,1,13,185,63,6,5,42,10,1,78,9,1,10,0.286,0.358,0.442,0.800,0.021,121.6,/player/?m=playerinfo&p_no=12516,12516
2019,LG,3,유강남,19  C,3.68,2.91,0.77,132,468,466,418,44,113,22,0,16,183,49,0,0,30,13,2,82,21,1,6,0.270,0.334,0.438,0.772,0.018,118.7,/player/?m=playerinfo&p_no=10753,10753
2019,LG,4,채은성,19  RF,3.68,4.09,-0.42,128,514,514,470,59,148,18,1,12,204,72,2,2,24,12,1,67,9,0,8,0.315,0.358,0.434,0.792,0.030,129.3,/player/?m=playerinfo&p_no=11215,11215
2019,LG,5,김현수,19  LF,3.10,4.36,-1.25,140,595,589,526,75,160,37,0,11,230,82,3,1,54,6,9,52,11,0,9,0.304,0.370,0.437,0.807,0.023,123.4,/player/?m=playerinfo&p_no=10187,10187
2019,LG,6,김민성,19  3B,1.84,1.87,-0.03,107,401,396,361,44,94,16,0,8,134,50,2,1,30,4,0,75,12,5,1,0.260,0.323,0.371,0.694,-0.004,100.7,/player/?m=playerinfo&p_no=10238,10238
2019,LG,7,이천웅,19  CF,1.61,3.68,-2.06,138,613,608,546,88,168,24,3,2,204,48,21,10,57,5,1,82,13,4,1,0.308,0.378,0.374,0.752,0.011,113.0,/player/?m=playerinfo&p_no=10935,10935
